;doc;source;author;title;year;period;text_type;sentence
48409;IWterribilmente.csv;itWaC;http://www.chiesadimilano.it/or4/or?uid=ADMIesy.main.index&oid=104167;http://www.chiesadimilano.it/or4/or?uid=ADMIesy.main.index&oid=104167;2006.0;2001-2021;web;['credo che molti giornalisti americani siano terribilmente delusi dal comportamento del governo e molto seccati che imponga la propaganda a tutti e scoraggi quelli che cercano di']
48411;IWorribilmente.csv;itWaC;http://filmup.leonardo.it/opinioni/op.php?uid=2279&pag=3&ord=1;http://filmup.leonardo.it/opinioni/op.php?uid=2279&pag=3&ord=1;2006.0;2001-2021;web;['un film assolutamente senza trama, con inquadrature alla beautiful, effetti orribilmente plastici ed artficiosi, incongruenze storiche, dialoghi banali e scontatissimi  vedi quello terribilmente']
48414;IWterribilmente.csv;itWaC;http://www.turistipercaso.it/stampa.asp?tipo=itinerario&id=4822&link=www%2Eturistipercaso%2Eit%2Fviaggi%2Fitinerari%2Ftesto%2Easp;http://www.turistipercaso.it/stampa.asp?tipo=itinerario&id=4822&link=www%2Eturistipercaso%2Eit%2Fviaggi%2Fitinerari%2Ftesto%2Easp;2006.0;2001-2021;web;['la cosa invece si complica terribilmente da ulan batar a pechino.']
48422;IWterribilmente.csv;itWaC;"http://www.centomovimenti.it/yabbse/index.php?board=2;action=display;threadid=1386";"http://www.centomovimenti.it/yabbse/index.php?board=2;action=display;threadid=1386";2006.0;2001-2021;web;['il ensiero di altri   anni di governo formigoni mi deprime terribilmente , mi deprime vedere che vanno decadendo gli ideali di solidarietà che sono stati sempre tanto forti in lombardia.']
48424;IWterribilmente.csv;itWaC;http://blog.repubblica.it/rblog/comment.do?method=edit&entryid=40289e98ffdfeea600fffb4339631884;http://blog.repubblica.it/rblog/comment.do?method=edit&entryid=40289e98ffdfeea600fffb4339631884;2006.0;2001-2021;web;[':  :   strakaliux x lila       comunque chirac è un uomo terribilmente intelligente, incredibilmente affascinante, ed è nato come uomo di sinistra, peccato che ha già    anni       cavolo, se']
48427;IWterribilmente.csv;itWaC;http://blog.mrwebmaster.it/hellyboy/6910/;http://blog.mrwebmaster.it/hellyboy/6910/;2006.0;2001-2021;web;['latte, le api spontaneamente portavano alle sue labbra il miele e i sacerdoti di cibele  i cureti o coribanti  facevano terribilmente risuonare armi e scudi, battendoli fra loro con gran forza ogni volta che il piccolo piangeva, perché cronos non lo']
48432;IWterribilmente.csv;itWaC;http://www.educational.rai.it/railibro/articoli.asp?id=438;http://www.educational.rai.it/railibro/articoli.asp?id=438;2006.0;2001-2021;web;['i passi dell   agente addetto alla consegna sembrano terribilmente lenti.']
48436;IWterribilmente.csv;itWaC;http://redazione.romaone.it/4Daction/Web_StampaArticolo?ID=56951&doc=si;http://redazione.romaone.it/4Daction/Web_StampaArticolo?ID=56951&doc=si;2006.0;2001-2021;web;['diversa solo per far spazio a un italiano perchè tale, nonostante fossero tutti di qualità, ammettiamolo, terribilmente media  .']
48442;IWterribilmente.csv;itWaC;http://www.satyrnet.it/satyr/steghe.htm;http://www.satyrnet.it/satyr/steghe.htm;2006.0;2001-2021;web;['la strega aveva una gobba ad uncino, era terribilmente orrenda, aveva un solo dente, puzzava di acqua di fogna e spesso faceva anche dei rumori osceni!']
48445;IWterribilmente.csv;itWaC;http://www.exbaba.it/texts/la_conferenza_dell_unesco.htm;http://www.exbaba.it/texts/la_conferenza_dell_unesco.htm;2006.0;2001-2021;web;['ero terribilmente spiacente non potendo dar loro alcuna informazione che potesse soddisfare le loro aspettative.']
48446;IWterribilmente.csv;itWaC;http://www.rockol.it/recensione.php?idrecensione=2483;http://www.rockol.it/recensione.php?idrecensione=2483;2006.0;2001-2021;web;['ma furba, terribilmente furba, nello sfruttare il sistema dei media.']
59642;TT10terribilmente_randomsample.csv;itTenten2010;classicitaliani.it;classicitaliani.it;2010.0;2001-2021;web;['chi sa perché, il vedermi diventare di punto in bianco un marito esemplare, le diede terribilmente ai nervi.']
59687;TT10terribilmente_randomsample.csv;itTenten2010;italialaica.it;italialaica.it;2010.0;2001-2021;web;['i preti che hanno ottenuto tali riconoscimenti sono così terribilmente reazionari e di destra che sono anche negazionisti della shoah.']
59859;TT10terribilmente_randomsample.csv;itTenten2010;adusbef.it;adusbef.it;2010.0;2001-2021;web;['che gira a davos è questa, la strada per  liberarsi  del governatore di via nazionale è una partita internazionale terribilmente complessa.']
59900;TT10terribilmente_randomsample.csv;itTenten2010;letterealdirettore.it;letterealdirettore.it;2010.0;2001-2021;web;['mi dispiace terribilmente per quello che ti è successo, davvero.']
59909;TT10terribilmente_randomsample.csv;itTenten2010;cinemavvenire.it;cinemavvenire.it;2010.0;2001-2021;web;['immagini che si materializzano davanti a noi come cartoline in bianco e nero di una new york viva, struggente e terribilmente affascinante.']
59939;TT10terribilmente_randomsample.csv;itTenten2010;cataniapolitica.it;cataniapolitica.it;2010.0;2001-2021;web;['la seconda parte del film poi è ancora peggiore perché con la sua prevedibilità rende la storia scontata e la pellicola terribilmente lenta.']
59949;TT10terribilmente_randomsample.csv;itTenten2010;repubblica.it;repubblica.it;2010.0;2001-2021;web;['mi sentivo terribilmente in colpa.']
59956;TT10terribilmente_randomsample.csv;itTenten2010;peacelink.it;peacelink.it;2010.0;2001-2021;web;['e migliaia di industrie di guerra si raccoglie in una bomba di sovraterrena potenza, che mette al bivio: o essere terribilmente violenti o essere inferiori sul piano della forza.']
59981;TT10terribilmente_randomsample.csv;itTenten2010;manipulite.it;manipulite.it;2010.0;2001-2021;web;['  titolo: re: lucciolii post di ekinos il          alle ore   :  :     nulla mi rifiuterà d  esistere se credo terribilmente     pietro jahier   titolo: re: lucciolii post di digrumante il          alle ore   :  :    chi più ama è soccombente']
60041;TT10terribilmente_randomsample.csv;itTenten2010;peacelink.it;peacelink.it;2010.0;2001-2021;web;[', le ho risposto  e sono atea ,  qualcosa deve essere andato terribilmente male .']
60090;TT10terribilmente_randomsample.csv;itTenten2010;tiscali.it;tiscali.it;2010.0;2001-2021;web;['della televisione italiana sia stata partorita iniziativa più insulsa ed inutile, dispendiosa per i contribuenti e terribilmente poco educativa, anche sotto l aspetto dell intrattenimento.']
60109;TT10terribilmente_randomsample.csv;itTenten2010;dogwelcome.it;dogwelcome.it;2010.0;2001-2021;web;['questa deliziosa cagnolina sta soffrendo terribilmente la reclusione.']
