;;doc;source;author;title;year;period;text_type;sentence
1851-1900;8293;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['oh, è terribilmente egoista.']
1851-1900;8294;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;"['un momento a guardarci con curiosità; io, s  intende, non ne facevo caso, ma la mia dama sembrava credere che ne fossi terribilmente mortificato, e, passate alfine tutte quante, ha rilodato il mio  spirito di cortesia : sua espressione favorita.']"
1851-1900;8295;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['la notte è fredda, terribilmente .']
1851-1900;8296;GBterribilmente.csv;Gutenberg; Maria S. (Maria Susanna) Cummins;Il lampionaio;1865.0;1851-1900;prosa letteraria;['e per giunta una persona così terribilmente virtuosa, che tutti sono in obbligo d  idolatrarla, ammirarla e servirla.']
1851-1900;8303;GBterribilmente.csv;Gutenberg; Iginio Ugo Tarchetti;Racconti fantastici;1868.0;1851-1900;prosa letteraria;['era vero  bisognava crederlo  era terribilmente vero!']
1851-1900;8304;LLBersezio1.txt;Liber Liber;Vittorio Bersezio;La carità del prossimo;1868.0;1851-1900;prosa letteraria;"['gli si erano allividite e contratte vieppi le sue guancie, e il suo sguardo non aveva potuto reggere a quello avvampante di gina; ma il furore in lui non era stato tardo a sovraggiungere, si slanci su di lei, la afferr alle braccia, le serr i polsi e scuotendola senza un riguardo, rugg, accostando a quello di lei il suo volto terribilmente impresso dall ira:   sciagurata!', 'era s terribilmente turbato che lisa comprese di botto una suprema sciagura essere avvenuta; venne innanzi al padre bianca pi che cadavere, le labbra illividite, e senza potere articolar parola fiss con ansia il volto del capitano, ponendogli la destra sopra il braccio.']"
1851-1900;8308;GBterribilmente.csv;Gutenberg; Iginio Ugo Tarchetti;Racconti fantastici;1868.0;1851-1900;prosa letteraria;['che vi guardano immobili, che si guardano immobili  quelle delle due lineette che ne troncano inesorabilmente, terribilmente le cime  quell  arco inferiore, sul quale la lettera oscilla e si dondola sogghignando  e nell  interno quel nero,']
1851-1900;8311;BibItTarchetti1.txt;BibIt;Ugo Iginio Tarchetti;Fosca;1869.0;1851-1900;prosa letteraria;['una cosa mi conforta e mi inorgoglisce, il sentimento della mia freddezza   perché il mio cuore è freddo, terribilmente freddo.']
1851-1900;8314;li0477.txt;CLiGS Ro;Iginio Ugo Tarchetti;Fosca;1869.0;1851-1900;prosa letteraria;['una cosa mi conforta e mi inorgoglisce, il sentimento della mia freddezza  perché il mio cuore è freddo, terribilmente freddo.']
1851-1900;8317;li0211.txt;CLiGS Ro;Giuseppe Garibaldi;Clelia ovvero Il governo dei preti;1870.0;1851-1900;prosa letteraria;"['né qui è tutto   continuò il vecchio corrugando terribilmente la fronte;   quel demonio trasse fuori di tasca una funicella e colla fredda e spietata tranquillità del carnefice che applica la tortura assicurò alle verdi piante le membra della vittima a cui intanto ripeteva:  vedi alba!']"
1851-1900;8328;GBa_randomsample.csv;Gutenberg; Francesco Domenico Guerrazzi;"Pasquale Paoli; ossia, la rotta di Ponte Nuovo";1872.0;1851-1900;prosa letteraria;"[', e colà messo su in fretta alcune trincere faceva mostra di finire quanti si attentassero di avventurarci il piede: e poichè nei francesi non è per certo l  ardire quello che manca, ci si provarono, e non una volta, nè due: però toccarono troppi morti per non invilirsi; al fiume non avevano avvertito molto; che sguazzarlo mentre lo cavalcava un ponte parve inonorato; adesso lo arieno fatto più che volentieri, ma lo videro terribilmente gonfio, nè minacciatore di morte meno sicura, che il ponte; e il tempo a deliberare stringeva; perchè dai parapetti c rsi fioccavano moschettate fitte come grandine.']"
1851-1900;8329;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Traduzioni;1872.0;1851-1900;prosa letteraria;['batte terribilmente il messo della giustizia, più terribilmente il mio cuore.']
1851-1900;8330;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Il secolo che muore, vol. I;1872.0;1851-1900;prosa letteraria;['la barbarie dilaga terribilmente e ci trascina tutti senza che quasi ce ne accorgiamo.']
1851-1900;8331;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;"Pasquale Paoli; ossia, la rotta di Ponte Nuovo";1872.0;1851-1900;prosa letteraria;['là su quel vertice, benchè il fiato gli uscisse affannoso dal petto e le tempie e i polsi gli battessero terribilmente , altobello volse gli occhi dintorno per contemplare lo spettacolo che gli si parava davanti.']
1851-1900;8332;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;Lo assedio di Roma;1872.0;1851-1900;prosa letteraria;"['dignità di assioma nella scienza ha voluto aggravare la tassa del caffè, del tè, e degli spiriti, e tre vide percossa terribilmente questa rendita della finanza; nella sola irlanda scapitò l  erario centodiciassette milioni, e']"
1851-1900;8333;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;La battaglia di Benevento: Storia del secolo XIII;1872.0;1851-1900;prosa letteraria;['non rammentarli, mi risponde terribilmente berardo, tu ne sei diventato indegno dal momento che ti facesti traditore.']
1851-1900;8334;GBterribilmente.csv;Gutenberg; Francesco Domenico Guerrazzi;"Pasquale Paoli; ossia, la rotta di Ponte Nuovo";1872.0;1851-1900;prosa letteraria;"['; che sguazzarlo mentre lo cavalcava un ponte parve inonorato; adesso lo arieno fatto più che volentieri, ma lo videro terribilmente gonfio, nè minacciatore di morte meno sicura, che il ponte; e il tempo a deliberare stringeva; perchè dai parapetti']"
